
#  FSUGarnet                            
#      n(fm-3)          e/V(MeV/fm3)        P(MeV/fm3)            cs2
   0.708658160e+00    0.803349079e+03    0.205843138e+03    0.397691967e+00
   0.711112272e+00    0.806846870e+03    0.207234322e+03    0.398041664e+00
   0.713566384e+00    0.810348710e+03    0.208629173e+03    0.398297929e+00
   0.716020496e+00    0.813856471e+03    0.210025372e+03    0.397886097e+00
   0.718474608e+00    0.817367724e+03    0.211422971e+03    0.398287069e+00
   0.720928720e+00    0.820882925e+03    0.212823777e+03    0.398576263e+00
   0.723382832e+00    0.824404542e+03    0.214227073e+03    0.398374795e+00
   0.725836944e+00    0.827930821e+03    0.215631905e+03    0.398513319e+00
   0.728291056e+00    0.831462196e+03    0.217039517e+03    0.398544684e+00
   0.730745168e+00    0.834997642e+03    0.218448506e+03    0.398732504e+00
   0.733199280e+00    0.838537456e+03    0.219860679e+03    0.398894531e+00
   0.735653392e+00    0.842083489e+03    0.221274544e+03    0.398731615e+00
   0.738107504e+00    0.845631815e+03    0.222690109e+03    0.399071505e+00
   0.740561616e+00    0.849186507e+03    0.224108643e+03    0.399021472e+00
   0.743015728e+00    0.852745229e+03    0.225528527e+03    0.398980508e+00
   0.745469840e+00    0.856309617e+03    0.226950984e+03    0.399231574e+00
   0.747923952e+00    0.859877823e+03    0.228375952e+03    0.399364898e+00
   0.750378064e+00    0.863451385e+03    0.229802769e+03    0.399200672e+00
   0.752832176e+00    0.867028327e+03    0.231230870e+03    0.399364887e+00
   0.755286288e+00    0.870611166e+03    0.232661976e+03    0.399418586e+00
   0.757740400e+00    0.874198301e+03    0.234094628e+03    0.399417190e+00
   0.760194512e+00    0.877790178e+03    0.235529598e+03    0.399576866e+00
   0.762648624e+00    0.881386994e+03    0.236967058e+03    0.399724009e+00
   0.765102736e+00    0.884988602e+03    0.238406767e+03    0.399721211e+00
   0.767556848e+00    0.888593428e+03    0.239847744e+03    0.399780574e+00
   0.770010960e+00    0.892202792e+03    0.241290580e+03    0.399645808e+00
   0.772465072e+00    0.895818442e+03    0.242735575e+03    0.399805345e+00
   0.774919184e+00    0.899437965e+03    0.244183215e+03    0.399940980e+00
   0.777373296e+00    0.903061981e+03    0.245632291e+03    0.399878259e+00
   0.779827408e+00    0.906691083e+03    0.247083662e+03    0.399860461e+00
   0.782281520e+00    0.910323965e+03    0.248536397e+03    0.400091215e+00
   0.784735632e+00    0.913962630e+03    0.249992393e+03    0.399950424e+00
   0.787189744e+00    0.917603479e+03    0.251448429e+03    0.400157252e+00
   0.789643856e+00    0.921250442e+03    0.252907996e+03    0.399978999e+00
   0.792097968e+00    0.924902690e+03    0.254368557e+03    0.400134827e+00
   0.794552080e+00    0.928558195e+03    0.255831989e+03    0.400337542e+00
   0.797006192e+00    0.932218993e+03    0.257297175e+03    0.400153813e+00
   0.799460304e+00    0.935884671e+03    0.258764076e+03    0.400317088e+00
   0.801914416e+00    0.939552035e+03    0.260232516e+03    0.400286833e+00
   0.804368528e+00    0.943226751e+03    0.261702909e+03    0.400201493e+00
   0.806822640e+00    0.946905310e+03    0.263175667e+03    0.400378677e+00
   0.809276752e+00    0.950587981e+03    0.264649827e+03    0.400274212e+00
   0.811730864e+00    0.954276404e+03    0.266126214e+03    0.400255005e+00
   0.814184976e+00    0.957968135e+03    0.267604062e+03    0.400450110e+00
   0.816639088e+00    0.961664418e+03    0.269084700e+03    0.400618447e+00
   0.819093200e+00    0.965364280e+03    0.270566549e+03    0.400347750e+00
   0.821547312e+00    0.969069784e+03    0.272049689e+03    0.400296048e+00
   0.824001424e+00    0.972779929e+03    0.273535371e+03    0.400511432e+00
   0.826455536e+00    0.976493550e+03    0.275022411e+03    0.400324449e+00
   0.828909648e+00    0.980213049e+03    0.276511872e+03    0.400708870e+00
   0.831363760e+00    0.983935504e+03    0.278003427e+03    0.400379791e+00
   0.833817872e+00    0.987663292e+03    0.279495484e+03    0.400500693e+00
   0.836271984e+00    0.991393721e+03    0.280990536e+03    0.400751411e+00
   0.838726096e+00    0.995129627e+03    0.282486964e+03    0.400442184e+00
   0.841180208e+00    0.998871864e+03    0.283985362e+03    0.400353600e+00
   0.843634320e+00    0.100261950e+04    0.285485539e+03    0.400250984e+00
   0.846088432e+00    0.100636801e+04    0.286986766e+03    0.400965194e+00
   0.848542544e+00    0.101011602e+04    0.288490323e+03    0.400887385e+00
   0.850996656e+00    0.101387358e+04    0.289995658e+03    0.400763829e+00
   0.853450768e+00    0.101763422e+04    0.291502871e+03    0.400326932e+00
   0.855904880e+00    0.102140572e+04    0.293011549e+03    0.400319981e+00
   0.858358992e+00    0.102517506e+04    0.294522456e+03    0.400918788e+00
   0.860813104e+00    0.102895060e+04    0.296034383e+03    0.400014842e+00
   0.863267216e+00    0.103273328e+04    0.297548114e+03    0.400792275e+00
   0.865721328e+00    0.103651381e+04    0.299064746e+03    0.400878516e+00
